SNR2T,SNR6T,wsSNR,Squash,WPE,PSDSNR,PSD Noise,PSD Amp
0.01376667,0.0375,0.0028,-0.003,-0.08333333,0.02639087,0.0008,0.007068695
-0.00756666,0.09956667,0.01383334,0.004,0.08,0.03051762,-0.0007,-0.002813175
-13.74333333,-23.3657,-15.51436667,-0.752,-73.76666667,-16.89464835,-0.08212211,-0.574370298
-13.7578,-23.5507,-15.54736667,-0.711,-74.56666667,-16.87691361,-0.0815,-0.568835478
-13.85033333,-23.46696667,-15.5685,-0.767,-73.71,-16.90270606,-0.0812,-0.568578605
-13.71153333,-23.3762,-15.49143333,-0.756,-73.82333333,-16.81746149,-0.0827,-0.573171154
0.128133333,0.3351,0.1402,-0.009,1.336666667,0.122835447,-0.000334975,0.010078901
0.037966667,-0.027766667,0.0063,0.065,-0.393333333,0.004396978,-0.000470958,-0.002918809
0.032333337,0.017899997,0.00483333,0.004,-0.06666667,-0.00313151,0.000323162,0.001899887
-0.004966667,-0.029066667,-0.026566667,-0.023,-0.003333333,0.026695615,-0.001242043,-0.006316063
0.006266663,-0.066366663,-0.02476667,0.006,-0.333333337,-0.006837263,-0.000356857,-0.002469457
-0.0865,-0.190566667,-0.110233333,-0.01,-0.886666667,-0.147459248,0.002781772,0.004333595
-0.0111,-0.092366667,-0.0671,0.04,-0.88,-0.070372555,0.000833754,-0.001326118
0.047000003,-0.009000003,0.007733333,0.013,0.33666667,0.006490806,5.69846E-05,0.000798117
0.010966667,-0.039733333,0.001,-0.009,-0.026666667,0.008912913,-1.09704E-05,0.000763084
-0.051433333,-0.042733333,-0.057933333,0.022,0.2,-0.016783141,-0.00032395,-0.003854135
